country,year,value
AT,2018,30.8
BE,2018,27.2
BG,2018,41.3
CH,2018,33.1
CY,2018,32.7
CZ,2018,25.0
DE,2018,31.9
DK,2018,28.2
EE,2018,30.3
ES,2018,34.7
FI,2018,27.3
FR,2018,32.4
GB,2018,33.7
HR,2018,29.7
IE,2018,30.6
IS,2018,26.6
IT,2018,35.2
LT,2018,35.7
LV,2018,35.1
ME,2018,36.8
NL,2018,28.1
NO,2018,27.6
PL,2018,30.2
PT,2018,33.5
RS,2018,35.0
SE,2018,30.0
SI,2018,24.6
