country,year,value
AT,2018,4.933
BE,2018,5.941
BG,2018,5.211
CH,2018,4.713
CY,2018,8.504
CZ,2018,2.246
DE,2018,3.384
DK,2018,5.131
EE,2018,5.412
ES,2018,15.255
FI,2018,7.361
FR,2018,9.018
GB,2018,4.145
HR,2018,8.322
HU,2018,3.667
IE,2018,5.741
IS,2018,2.704
IT,2018,10.538
LT,2018,6.147
LV,2018,7.412
ME,2018,15.19
NL,2018,3.832
NO,2018,3.801
PL,2018,3.835
PT,2018,6.966
RS,2018,12.733
SE,2018,6.365
SI,2018,5.108
