model,label,n_ind,n_countries,icc,loglik,tau,sigma2,Intercept_coef,Intercept_pval,income_c_coef,income_c_pval,education_c_coef,education_c_pval,age_c_coef,age_c_pval,female_coef,female_pval,employed_coef,employed_pval,ideology_c_coef,ideology_c_pval,meritocracy_index_c_coef,meritocracy_index_c_pval,gini_z_coef,gini_z_pval,gdp_per_capita_z_coef,gdp_per_capita_z_pval,unemployment_rate_z_coef,unemployment_rate_z_pval,corruption_z_coef,corruption_z_pval,education_c:corruption_z_coef,education_c:corruption_z_pval,education_c:gini_z_coef,education_c:gini_z_pval
T1,T1: Null,47301,28,0.1811535290596603,-109012.40041041374,1.2961416434085333,5.858792903749351,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T2,T2: Individual predictors,33648,28,0.16078157851898667,-76213.80073439263,1.034383042117647,5.399084346657223,4.799094067576774,3.447665832936692e-135,0.08082187626824701,1.6172970870636588e-53,0.0569246375214086,1.9923390491349777e-63,0.0010626703388156205,0.182183463884262,-0.053703771286189896,0.03747990617831926,-0.21449949244252817,1.7403255954121667e-12,0.07637533594440273,1.1566919284317838e-39,-0.21091526525832008,5.176197772335218e-28,,,,,,,,,,,,
T3,T3: + Country-level,31033,25,0.07791276165998415,-70124.12583054701,0.45157694827430683,5.344353508471856,4.763445726618693,4.037500438707581e-257,0.07874080313913169,1.0906756865290821e-47,0.05797569429603384,1.5364221261333384e-61,0.0008557688344219915,0.2991314296705935,-0.05742729131384608,0.03183136783596416,-0.2253434334192402,1.0145168761033475e-12,0.059239098783233655,1.143528678635318e-22,-0.21018263298605416,6.464334830821185e-26,-0.0690757449275713,0.6782274171686109,0.09067036510646756,0.704524365942865,0.31263617269583643,0.056741529862638355,0.9275523312533412,0.00033133099927375837,,,,
T4,T4: Random slope (education),31033,25,0.08946051963220185,-70017.8999794338,0.5205065650920527,5.297775815023849,4.7013215354081,1.5658787487483118e-219,0.07946989177423053,1.3363336608669379e-48,0.04439678111331797,0.0011663765568385004,0.0006991789544151666,0.3955502291728903,-0.0634052260433678,0.017463495126231538,-0.23090710979923326,2.4441729259822e-13,0.059689791096941336,4.4487973317051916e-23,-0.21276650939320288,1.0962016168470233e-26,-0.09586561358503681,0.49050348149993106,0.08420240731677966,0.6686160196254095,0.3112120283971784,0.023152034888852393,1.27406415956384,3.064412713987464e-07,,,,
T5,T5: Education x Corruption,31033,25,0.07298128756544052,-70012.8827510101,0.41708558654876976,5.297880543293478,4.732583517926564,2.901504243375463e-275,0.0797270620170886,6.423271915019733e-49,0.03881518846947689,8.247827397075383e-05,0.0006865403437418762,0.4040594093400872,-0.06362736718383805,0.017060654531890252,-0.23107527964154567,2.334888101428847e-13,0.05972936592568499,4.0787730591308837e-23,-0.21311459071406091,9.011206223014807e-27,-0.0919244758079757,0.5021275039136894,0.08842501125633634,0.6477164203811746,0.30563930312474186,0.023506927137560366,0.9339723663761429,2.5961353592715828e-05,0.049969317109817966,9.823643084949197e-07,,
T6,T6: Education x Gini,31033,25,0.08575700290901303,-70019.37886069893,0.4969404997409751,5.297810749532766,4.720435958911009,1.2270380646437492e-231,0.07953934333266906,1.1010099649914037e-48,0.04135913863186092,0.0014765852334570036,0.0006991370741899213,0.39556785858282584,-0.06347965370385546,0.01733003920413454,-0.2310543545636727,2.3591282133328133e-13,0.05973944687737261,4.0882679252884136e-23,-0.21265314868423985,1.1655735464488366e-26,0.08205198990949501,0.6379736098670884,0.08451758380890298,0.6650058725986128,0.3081489223477034,0.023510722304438878,1.275790363751048,2.1785994156067524e-07,,,-0.026310744845154804,0.04455928848630089
T7,T7: Full model,31033,25,0.07364462355166483,-70016.40818988052,0.4211776912309322,5.297877834057457,4.733313973168478,1.716734982831475e-272,0.07972612718956802,6.4712751826323215e-49,0.03867101498393443,0.0001285100715613918,0.0006865529601292249,0.4040593778591075,-0.0636451038249183,0.017030889502484818,-0.23109069124179216,2.328232104838337e-13,0.059734035258181495,4.059903740719852e-23,-0.2130885378377254,9.168649568607693e-27,-0.07884451750874263,0.6197195508346209,0.08845573839240456,0.6474250817502947,0.3052873181828962,0.0236020321567018,0.9406163446662614,3.2125178245875025e-05,0.049020285514522595,4.925143331360255e-05,-0.001926956290561157,0.8694155743326053
