Model,AIC,BIC,Log-Likelihood,N,Groups,Resid. Var,Intercept Var
M1: Null,,,-43436.91351255326,31393,26,0.9282535389268055,0.0774837129469081
M2: L1,,,-42121.09969734738,31393,26,0.8518170076497337,0.05796627592311674
M3: L1+L2,,,-42124.49468156751,31393,26,0.8518175390526699,0.05212384454742997
M4: RS Income,,,-42095.52047126606,31393,26,0.8493341553986382,0.054752465642677516
M5: Income×Gini,,,-42095.81859346907,31393,26,0.8493243450216523,0.0517542913636482
M6: RS Ideology,,,-41809.02868162314,31393,26,0.8327553432550121,0.05879497122719794
M7: Ideology×Gini,,,-41810.127541080845,31393,26,0.8327567796975174,0.055797557220052925
